name,description,type,lat,lng,floor,hasTissue,hasDryer,hasSeat,hasDiaperTable,hasWaterDispenser,hasAutoDoor,hasHandrail,source,poiid,poiname,address,telno,op_time,services,x_raw,y_raw,has_toilet_service_tag
7-ELEVEN 大台,地址：台北市大安區羅斯福路三段333巷18號1樓20號1樓(部分)；電話：(02)23620204；營業時間：24H；,TOILET,25.017604,121.532554,,False,False,False,False,False,False,False,7-ELEVEN iMapSDKOutput,261371,大台,台北市大安區羅斯福路三段333巷18號1樓20號1樓(部分),(02)23620204,24H,"02廁所,03ATM,04座位區,05ibon WiFi,95藥商執照(快篩試劑),12行動電源租賃,19ibon,21現萃茶,22現蒸地瓜,24雪淋霜霜淇淋,31博客來,36精品咖啡,37天素地蔬,38嚴選素材冷凍鮮物,39原賞熱壓土司,66冷凍交貨便,17甜點專櫃,33OPEN iECO循環杯,78拋棄式隱形眼鏡,79精品威士忌咖啡,90饗喫鍋,91蒸玉米,97ANKER",121532554,25017604,True
7-ELEVEN 大信,地址：台北市大安區信義路三段33號；電話：(02)27096471；營業時間：24H；,TOILET,25.033718,121.534563,,False,False,False,False,False,False,False,7-ELEVEN iMapSDKOutput,921633,大信,台北市大安區信義路三段33號,(02)27096471,24H,"02廁所,03ATM,04座位區,05ibon WiFi,95藥商執照(快篩試劑),12行動電源租賃,16美妝,15Mister Donut甜甜圈,19ibon,21現萃茶,22現蒸地瓜,36精品咖啡,37天素地蔬,82天素地蔬複合店,39原賞熱壓土司,66冷凍交貨便,34CITY系列熱燕麥飲,33OPEN iECO循環杯,78拋棄式隱形眼鏡,79精品威士忌咖啡,90饗喫鍋,89自助微波,91蒸玉米,A1所長茶葉蛋,A9beams design專區",121534563,25033718,True
7-ELEVEN 合維,地址：台北市大安區四維路170巷8號1樓；電話：(02)27077030；營業時間：24H；,TOILET,25.0281958700811,121.54762538947301,,False,False,False,False,False,False,False,7-ELEVEN iMapSDKOutput,238533,合維,台北市大安區四維路170巷8號1樓,(02)27077030,24H,"02廁所,03ATM,04座位區,05ibon WiFi,95藥商執照(快篩試劑),12行動電源租賃,06思樂冰,13生鮮蔬菜,19ibon,21現萃茶,22現蒸地瓜,36精品咖啡,37天素地蔬,39原賞熱壓土司,66冷凍交貨便,08寵物生活專區,34CITY系列熱燕麥飲,78拋棄式隱形眼鏡,79精品威士忌咖啡,90饗喫鍋,89自助微波,92現烤地瓜,96瓜地馬拉豆,A1所長茶葉蛋",121547625.389473,25028195.8700811,True
7-ELEVEN 安居,地址：台北市大安區安居街33號；電話：(02)27332560；營業時間：24H；,TOILET,25.020451,121.554426,,False,False,False,False,False,False,False,7-ELEVEN iMapSDKOutput,237910,安居,台北市大安區安居街33號,(02)27332560,24H,"02廁所,03ATM,04座位區,05ibon WiFi,95藥商執照(快篩試劑),12行動電源租賃,19ibon,21現萃茶,22現蒸地瓜,31博客來,36精品咖啡,37天素地蔬,66冷凍交貨便,17甜點專櫃,34CITY系列熱燕麥飲,78拋棄式隱形眼鏡,79精品威士忌咖啡,80霹靂DVD,90饗喫鍋,89自助微波,94EC自助取件,96瓜地馬拉豆",121554426,25020451,True
7-ELEVEN 安松,地址：台北市大安區安東街50之2號50之3號50之4號；電話：(02)27118647；營業時間：24H；,TOILET,25.042924,121.542452,,False,False,False,False,False,False,False,7-ELEVEN iMapSDKOutput,167581,安松,台北市大安區安東街50之2號50之3號50之4號,(02)27118647,24H,"02廁所,03ATM,04座位區,95藥商執照(快篩試劑),12行動電源租賃,13生鮮蔬菜,19ibon,22現蒸地瓜,36精品咖啡,66冷凍交貨便,08寵物生活專區,17甜點專櫃,34CITY系列熱燕麥飲,79精品威士忌咖啡,89自助微波,91蒸玉米,A0茶BAR(茶拿鐵),A1所長茶葉蛋",121542452,25042924,True
7-ELEVEN 技安,地址：台北市大安區和平東路三段97號97之1號1樓；電話：(02)27375613；營業時間：24H；,TOILET,25.024613,121.550779,,False,False,False,False,False,False,False,7-ELEVEN iMapSDKOutput,128058,技安,台北市大安區和平東路三段97號97之1號1樓,(02)27375613,24H,"02廁所,03ATM,04座位區,05ibon WiFi,95藥商執照(快篩試劑),12行動電源租賃,19ibon,21現萃茶,22現蒸地瓜,31博客來,36精品咖啡,37天素地蔬,66冷凍交貨便,08寵物生活專區,17甜點專櫃,78拋棄式隱形眼鏡,79精品威士忌咖啡,90饗喫鍋,91蒸玉米,96瓜地馬拉豆,A1所長茶葉蛋,A8BEAMS DESIGN",121550779,25024613,True
7-ELEVEN 辛亥,地址：台北市大安區辛亥路二段57號；電話：(02)23630291；營業時間：07:00 ~ 23:00；,TOILET,25.023057,121.537167,,False,False,False,False,False,False,False,7-ELEVEN iMapSDKOutput,894359,辛亥,台北市大安區辛亥路二段57號,(02)23630291,07:00 ~ 23:00,"02廁所,03ATM,04座位區,05ibon WiFi,95藥商執照(快篩試劑),12行動電源租賃,06思樂冰,13生鮮蔬菜,19ibon,36精品咖啡,37天素地蔬,66冷凍交貨便,17甜點專櫃,33OPEN iECO循環杯,78拋棄式隱形眼鏡,79精品威士忌咖啡,89自助微波,A1所長茶葉蛋",121537167,25023057,True
7-ELEVEN 和樂,地址：台北市大安區和平東路三段228巷45號1樓；電話：(02)27326014；營業時間：06:00 ~ 23:59；,TOILET,25.02064,121.553285,,False,False,False,False,False,False,False,7-ELEVEN iMapSDKOutput,196316,和樂,台北市大安區和平東路三段228巷45號1樓,(02)27326014,06:00 ~ 23:59,"02廁所,03ATM,04座位區,95藥商執照(快篩試劑),12行動電源租賃,06思樂冰,19ibon,22現蒸地瓜,36精品咖啡,37天素地蔬,39原賞熱壓土司,66冷凍交貨便,17甜點專櫃,33OPEN iECO循環杯,78拋棄式隱形眼鏡,79精品威士忌咖啡,80霹靂DVD,90饗喫鍋",121553285,25020640,True
7-ELEVEN 和鑫,地址：台北市大安區和平東路三段38號1樓；電話：(02)27326448；營業時間：24H；,TOILET,25.024479,121.547634,,False,False,False,False,False,False,False,7-ELEVEN iMapSDKOutput,242668,和鑫,台北市大安區和平東路三段38號1樓,(02)27326448,24H,"02廁所,03ATM,04座位區,95藥商執照(快篩試劑),12行動電源租賃,09OPEN! PLAZA專櫃,19ibon,21現萃茶,22現蒸地瓜,24雪淋霜霜淇淋,36精品咖啡,37天素地蔬,39原賞熱壓土司,66冷凍交貨便,08寵物生活專區,17甜點專櫃,33OPEN iECO循環杯,79精品威士忌咖啡,80霹靂DVD,90饗喫鍋,89自助微波,91蒸玉米,96瓜地馬拉豆,97ANKER,A2動福滷蛋",121547634,25024479,True
7-ELEVEN 延仁,地址：台北市大安區延吉街175號1樓；電話：(02)27753621；營業時間：24H；,TOILET,25.038319,121.555483,,False,False,False,False,False,False,False,7-ELEVEN iMapSDKOutput,244332,延仁,台北市大安區延吉街175號1樓,(02)27753621,24H,"02廁所,03ATM,95藥商執照(快篩試劑),12行動電源租賃,06思樂冰,19ibon,22現蒸地瓜,36精品咖啡,82天素地蔬複合店,08寵物生活專區,33OPEN iECO循環杯,79精品威士忌咖啡,90饗喫鍋,89自助微波,91蒸玉米,96瓜地馬拉豆,A0茶BAR(茶拿鐵)",121555483,25038319,True
