poiid,name,x_raw,y_raw,lng,lat,tel,fax,address,services,op_day,op_time,special_store_kind,store_url,has_toilet
261371,大台,121532554,25017604,121.532554,25.017604,(02)23620204,,台北市大安區羅斯福路三段333巷18號1樓20號1樓(部分),"02廁所,03ATM,04座位區,05ibon WiFi,95藥商執照(快篩試劑),12行動電源租賃,19ibon,21現萃茶,22現蒸地瓜,24雪淋霜霜淇淋,31博客來,36精品咖啡,37天素地蔬,38嚴選素材冷凍鮮物,39原賞熱壓土司,66冷凍交貨便,17甜點專櫃,33OPEN iECO循環杯,78拋棄式隱形眼鏡,79精品威士忌咖啡,90饗喫鍋,91蒸玉米,97ANKER",,24H,,,1
921633,大信,121534563,25033718,121.534563,25.033718,(02)27096471,(02)27096492,台北市大安區信義路三段33號,"02廁所,03ATM,04座位區,05ibon WiFi,95藥商執照(快篩試劑),12行動電源租賃,16美妝,15Mister Donut甜甜圈,19ibon,21現萃茶,22現蒸地瓜,36精品咖啡,37天素地蔬,82天素地蔬複合店,39原賞熱壓土司,66冷凍交貨便,34CITY系列熱燕麥飲,33OPEN iECO循環杯,78拋棄式隱形眼鏡,79精品威士忌咖啡,90饗喫鍋,89自助微波,91蒸玉米,A1所長茶葉蛋,A9beams design專區",,24H,,,1
238533,合維,121547625.389473,25028195.8700811,121.54762538947301,25.0281958700811,(02)27077030,(02)27075996,台北市大安區四維路170巷8號1樓,"02廁所,03ATM,04座位區,05ibon WiFi,95藥商執照(快篩試劑),12行動電源租賃,06思樂冰,13生鮮蔬菜,19ibon,21現萃茶,22現蒸地瓜,36精品咖啡,37天素地蔬,39原賞熱壓土司,66冷凍交貨便,08寵物生活專區,34CITY系列熱燕麥飲,78拋棄式隱形眼鏡,79精品威士忌咖啡,90饗喫鍋,89自助微波,92現烤地瓜,96瓜地馬拉豆,A1所長茶葉蛋",,24H,,,1
237910,安居,121554426,25020451,121.554426,25.020451,(02)27332560,(02)27334831,台北市大安區安居街33號,"02廁所,03ATM,04座位區,05ibon WiFi,95藥商執照(快篩試劑),12行動電源租賃,19ibon,21現萃茶,22現蒸地瓜,31博客來,36精品咖啡,37天素地蔬,66冷凍交貨便,17甜點專櫃,34CITY系列熱燕麥飲,78拋棄式隱形眼鏡,79精品威士忌咖啡,80霹靂DVD,90饗喫鍋,89自助微波,94EC自助取件,96瓜地馬拉豆",,24H,,,1
167581,安松,121542452,25042924,121.542452,25.042924,(02)27118647,(02)27119592,台北市大安區安東街50之2號50之3號50之4號,"02廁所,03ATM,04座位區,95藥商執照(快篩試劑),12行動電源租賃,13生鮮蔬菜,19ibon,22現蒸地瓜,36精品咖啡,66冷凍交貨便,08寵物生活專區,17甜點專櫃,34CITY系列熱燕麥飲,79精品威士忌咖啡,89自助微波,91蒸玉米,A0茶BAR(茶拿鐵),A1所長茶葉蛋",,24H,,,1
128058,技安,121550779,25024613,121.550779,25.024613,(02)27375613,(02)23775513,台北市大安區和平東路三段97號97之1號1樓,"02廁所,03ATM,04座位區,05ibon WiFi,95藥商執照(快篩試劑),12行動電源租賃,19ibon,21現萃茶,22現蒸地瓜,31博客來,36精品咖啡,37天素地蔬,66冷凍交貨便,08寵物生活專區,17甜點專櫃,78拋棄式隱形眼鏡,79精品威士忌咖啡,90饗喫鍋,91蒸玉米,96瓜地馬拉豆,A1所長茶葉蛋,A8BEAMS DESIGN",,24H,,,1
894359,辛亥,121537167,25023057,121.537167,25.023057,(02)23630291,(02)23627355,台北市大安區辛亥路二段57號,"02廁所,03ATM,04座位區,05ibon WiFi,95藥商執照(快篩試劑),12行動電源租賃,06思樂冰,13生鮮蔬菜,19ibon,36精品咖啡,37天素地蔬,66冷凍交貨便,17甜點專櫃,33OPEN iECO循環杯,78拋棄式隱形眼鏡,79精品威士忌咖啡,89自助微波,A1所長茶葉蛋",,07:00 ~ 23:00,,,1
196316,和樂,121553285,25020640,121.553285,25.02064,(02)27326014,(02)27078379,台北市大安區和平東路三段228巷45號1樓,"02廁所,03ATM,04座位區,95藥商執照(快篩試劑),12行動電源租賃,06思樂冰,19ibon,22現蒸地瓜,36精品咖啡,37天素地蔬,39原賞熱壓土司,66冷凍交貨便,17甜點專櫃,33OPEN iECO循環杯,78拋棄式隱形眼鏡,79精品威士忌咖啡,80霹靂DVD,90饗喫鍋",,06:00 ~ 23:59,,,1
242668,和鑫,121547634,25024479,121.547634,25.024479,(02)27326448,(02)27323564,台北市大安區和平東路三段38號1樓,"02廁所,03ATM,04座位區,95藥商執照(快篩試劑),12行動電源租賃,09OPEN! PLAZA專櫃,19ibon,21現萃茶,22現蒸地瓜,24雪淋霜霜淇淋,36精品咖啡,37天素地蔬,39原賞熱壓土司,66冷凍交貨便,08寵物生活專區,17甜點專櫃,33OPEN iECO循環杯,79精品威士忌咖啡,80霹靂DVD,90饗喫鍋,89自助微波,91蒸玉米,96瓜地馬拉豆,97ANKER,A2動福滷蛋",,24H,,,1
244332,延仁,121555483,25038319,121.555483,25.038319,(02)27753621,(02)27754509,台北市大安區延吉街175號1樓,"02廁所,03ATM,95藥商執照(快篩試劑),12行動電源租賃,06思樂冰,19ibon,22現蒸地瓜,36精品咖啡,82天素地蔬複合店,08寵物生活專區,33OPEN iECO循環杯,79精品威士忌咖啡,90饗喫鍋,89自助微波,91蒸玉米,96瓜地馬拉豆,A0茶BAR(茶拿鐵)",,24H,,,1
197744,金信,121526940.374646,25033281.8881702,121.52694037464599,25.0332818881702,(02)23215183,(02)23217497,台北市大安區金山南路二段18號1樓,"02廁所,03ATM,04座位區,05ibon WiFi,95藥商執照(快篩試劑),12行動電源租賃,06思樂冰,19ibon,21現萃茶,22現蒸地瓜,31博客來,36精品咖啡,37天素地蔬,39原賞熱壓土司,66冷凍交貨便,17甜點專櫃,34CITY系列熱燕麥飲,79精品威士忌咖啡,90饗喫鍋,91蒸玉米,94EC自助取件,97ANKER,A1所長茶葉蛋,A9beams design專區",,24H,,,1
202453,統家,121553361.394032,25039938.9109956,121.553361394032,25.0399389109956,(02)27212029,(02)27738309,台北市大安區忠孝東路四段216巷27弄1號1樓,"02廁所,03ATM,04座位區,05ibon WiFi,95藥商執照(快篩試劑),12行動電源租賃,09OPEN! PLAZA專櫃,16美妝,19ibon,21現萃茶,22現蒸地瓜,24雪淋霜霜淇淋,36精品咖啡,39原賞熱壓土司,66冷凍交貨便,18高效智慧回收機,79精品威士忌咖啡,80霹靂DVD,90饗喫鍋,91蒸玉米,96瓜地馬拉豆,A1所長茶葉蛋,A2動福滷蛋",,06:00 ~ 23:59,,,1
232960,統領,121552871,25042214,121.552871,25.042214,(02)87734754,(02)27738656,台北市大安區忠孝東路四段223巷9號1樓,"02廁所,03ATM,04座位區,05ibon WiFi,95藥商執照(快篩試劑),12行動電源租賃,09OPEN! PLAZA專櫃,19ibon,22現蒸地瓜,36精品咖啡,39原賞熱壓土司,66冷凍交貨便,08寵物生活專區,17甜點專櫃,79精品威士忌咖啡,90饗喫鍋,89自助微波,97ANKER,A1所長茶葉蛋,A8BEAMS DESIGN,B0奶油爆米花風味拿鐵",,24H,,,1
186319,喜悅,121543243,25030944,121.543243,25.030944,(02)27067601,(02)27069749,台北市大安區復興南路二段82-1及82-2號,"02廁所,03ATM,04座位區,05ibon WiFi,95藥商執照(快篩試劑),12行動電源租賃,09OPEN! PLAZA專櫃,19ibon,22現蒸地瓜,36精品咖啡,37天素地蔬,39原賞熱壓土司,66冷凍交貨便,08寵物生活專區,17甜點專櫃,33OPEN iECO循環杯,78拋棄式隱形眼鏡,79精品威士忌咖啡,83蒸食機,90饗喫鍋,92現烤地瓜,91蒸玉米,A0茶BAR(茶拿鐵),A8BEAMS DESIGN",,24H,,,1
147141,敦信,121550178.391539,25034565.8922844,121.550178391539,25.0345658922844,(02)27556047,(02)27025427,台北市大安區仁愛路四段122巷50號1樓,"02廁所,03ATM,04座位區,05ibon WiFi,95藥商執照(快篩試劑),11千禧血壓站,12行動電源租賃,09OPEN! PLAZA專櫃,06思樂冰,13生鮮蔬菜,19ibon,21現萃茶,22現蒸地瓜,29聖娜麵包,31博客來,36精品咖啡,37天素地蔬,82天素地蔬複合店,39原賞熱壓土司,66冷凍交貨便,08寵物生活專區,17甜點專櫃,33OPEN iECO循環杯,78拋棄式隱形眼鏡,79精品威士忌咖啡,90饗喫鍋,89自助微波,94EC自助取件,96瓜地馬拉豆,97ANKER,A1所長茶葉蛋,A2動福滷蛋",,24H,,,1
