name,type,lat,lng,address,tel,openTime,level,typeLabels,description,groupSize,source
大安森林公園1號和平東路,TOILET,25.0277985,121.5351535,臺北市大安區龍門里新生南路二段1號,02-23032451,全天開放,優等級,無障礙、女、男,地址：臺北市大安區龍門里新生南路二段1號；電話：02-23032451；開放時間：全天開放；等級：優等級；,3,tw_public
大安森林公園2號音樂臺南側,TOILET,25.0296237,121.5352253,臺北市大安區龍門里新生南路二段1號,02-23032451,全天開放,優等級,女、親子、男,地址：臺北市大安區龍門里新生南路二段1號；電話：02-23032451；開放時間：全天開放；等級：優等級；,3,tw_public
大安森林公園1號和平東路,TOILET,25.030152,121.535351,臺北市大安區龍門里新生南路二段1號,02-23032451,全天開放,優等級,男、親子、女,地址：臺北市大安區龍門里新生南路二段1號；電話：02-23032451；開放時間：全天開放；等級：優等級；,4,tw_public
大安森林公園4號信義路,TOILET,25.0327332,121.5348566,臺北市大安區龍門里新生南路二段1號,02-23032451,全天開放,優等級,親子、男、女,地址：臺北市大安區龍門里新生南路二段1號；電話：02-23032451；開放時間：全天開放；等級：優等級；,3,tw_public
大安森林公園5號建國南路,TOILET,25.0290058,121.5371574,臺北市大安區龍門里新生南路二段1號,02-23032451,全天開放,優等級,無障礙、男、女,地址：臺北市大安區龍門里新生南路二段1號；電話：02-23032451；開放時間：全天開放；等級：優等級；,3,tw_public
大安森林公園6號建國南路,TOILET,25.0322917,121.5370359,臺北市大安區龍門里新生南路二段1號,02-23032451,全天開放,優等級,親子、男、女,地址：臺北市大安區龍門里新生南路二段1號；電話：02-23032451；開放時間：全天開放；等級：優等級；,3,tw_public
永康公園女廁,TOILET,25.03152,121.5296486,臺北市大安區福住里永康街8號,02-23032451,全天開放,優等級,女,地址：臺北市大安區福住里永康街8號；電話：02-23032451；開放時間：全天開放；等級：優等級；,1,tw_public
永康公園,TOILET,25.031503,121.5296486,臺北市大安區福住里永康街8號,02-23032451,全天開放,優等級,無障礙,地址：臺北市大安區福住里永康街8號；電話：02-23032451；開放時間：全天開放；等級：優等級；,1,tw_public
台灣中油金山南路加油站,TOILET,25.03148,121.527198,臺北市大安區永康里金山南路二段77號,02-23518346,07：00~23：59,特優級,女、無障礙,地址：臺北市大安區永康里金山南路二段77號；電話：02-23518346；開放時間：07：00~23：59；等級：特優級；,2,tw_public
台灣中油新生南路加油站女廁,TOILET,25.0384729,121.5331972,臺北市大安區民輝里仁愛路三段1號,02-27112316,07：00~22：00,特優級,女,地址：臺北市大安區民輝里仁愛路三段1號；電話：02-27112316；開放時間：07：00~22：00；等級：特優級；,1,tw_public
陽光加油站,TOILET,25.044017,121.536225,臺北市大安區民輝里建國南路一段57-1號,02-25078006,全天開放,特優級,女、無障礙、男,地址：臺北市大安區民輝里建國南路一段57-1號；電話：02-25078006；開放時間：全天開放；等級：特優級；,3,tw_public
